% Model:              sjngle_small_gate_2deg_jnalas_semj_ec.mph
% Versjon:            COMSOL 6.1.0.357
% Date:               Jul 7 2023, 14:05
% Table:              Admjttance, Harmonjc Perturbatjon - 
% Vdc (V)                                         Vs_on                                             Vd_on                                             Vg_on                                             freq (Hz)                                         Tref (K)                                          ljndev(semj.I0_1) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_1) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_1) / ljndev(semj.V0_3) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_2) / ljndev(semj.V0_3) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_1) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_2) (S)         ljndev(semj.I0_3) / ljndev(semj.V0_3) (S)
-0.25                                             1                                                 0                                                 0                                                 6.8E9                                             50                                                2.871416805037478E-4+6.423607858784779E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -2.8683228945065636E-4-6.354301338235577E-4j      nan+nan*1j                                         nan+nan*1j                                         -3.0940323573854617E-7-6.9306451276461575E-6j     nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 7.2E9                                             50                                                3.117745859112458E-4+6.645487906956104E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -3.114421766740928E-4-6.572308329859423E-4j       nan+nan*1j                                         nan+nan*1j                                         -3.3243654776696684E-7-7.317954769782065E-6j      nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 7.6E9                                             50                                                3.361996359746311E-4+6.851752605823024E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -3.3584509925454136E-4-6.774718861189276E-4j      nan+nan*1j                                         nan+nan*1j                                         -3.5452964580797416E-7-7.703376181071423E-6j      nan+nan*1j                                         nan+nan*1j
-0.25                                             1                                                 0                                                 0                                                 8.0E9                                             50                                                3.603193688397929E-4+7.043377608958883E-4j        -nan-nan*1j                                        -nan-nan*1j                                        -3.599437989981212E-4-6.962506915336352E-4j       nan+nan*1j                                         nan+nan*1j                                         -3.7555597337698987E-7-8.087067688375132E-6j      nan+nan*1j                                         nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 4.0E9                                             50                                                nan+nan*1j                                         -1.205288642489087E-4-4.326263631555518E-4j       nan+nan*1j                                         -nan-nan*1j                                        1.2066668512439451E-4+4.3678193470140874E-4j      -nan-nan*1j                                        nan+nan*1j                                         -1.3783823399738158E-7-4.155569112202696E-6j      nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 4.4E9                                             50                                                nan+nan*1j                                         -1.42432304321873E-4-4.6733082405285743E-4j       nan+nan*1j                                         -nan-nan*1j                                        1.4259407791172458E-4+4.7189033527229087E-4j      -nan-nan*1j                                        nan+nan*1j                                         -1.6177095836730332E-7-4.559508315873359E-6j      nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 4.8E9                                             50                                                nan+nan*1j                                         -1.6528174308757092E-4-5.000862060167971E-4j      nan+nan*1j                                         -nan-nan*1j                                        1.654680808131919E-4+5.050470716009936E-4j        -nan-nan*1j                                        nan+nan*1j                                         -1.8635478948188332E-7-4.960857702699375E-6j      nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 5.2E9                                             50                                                nan+nan*1j                                         -1.8886659207286864E-4-5.30893456091882E-4j       nan+nan*1j                                         -nan-nan*1j                                        1.8907786844237035E-4+5.36253098585175E-4j        -nan-nan*1j                                        nan+nan*1j                                         -2.112934255170785E-7-5.359639819216545E-6j       nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 5.6E9                                             50                                                nan+nan*1j                                         -2.1298881648256206E-4-5.597776821461122E-4j      nan+nan*1j                                         -nan-nan*1j                                        2.1322511628947208E-4+5.655335924597667E-4j       -nan-nan*1j                                        nan+nan*1j                                         -2.363097445677658E-7-5.755911708309769E-6j       nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 6.0E9                                             50                                                nan+nan*1j                                         -2.3746531869664982E-4-5.867845670936318E-4j      nan+nan*1j                                         -nan-nan*1j                                        2.3772644912635536E-4+5.929343252876859E-4j       -nan-nan*1j                                        nan+nan*1j                                         -2.6114913189494113E-7-6.1497598053183656E-6j     nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 6.4E9                                             50                                                nan+nan*1j                                         -2.6212951823152675E-4-6.119767225813511E-4j      nan+nan*1j                                         -nan-nan*1j                                        2.6241508772509867E-4+6.185180199087941E-4j       -nan-nan*1j                                        nan+nan*1j                                         -2.855815769563083E-7-6.54129453015924E-6j        nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 6.8E9                                             50                                                nan+nan*1j                                         -2.8683227497522764E-4-6.35430135327432E-4j       nan+nan*1j                                         -nan-nan*1j                                        2.8714168842850537E-4+6.423607789211297E-4j       -nan-nan*1j                                        nan+nan*1j                                         -3.094031652175168E-7-6.930645136707378E-6j       nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 7.2E9                                             50                                                nan+nan*1j                                         -3.114421682559647E-4-6.572308339213038E-4j       nan+nan*1j                                         -nan-nan*1j                                        3.1177459224831865E-4+6.645487901199324E-4j       -nan-nan*1j                                        nan+nan*1j                                         -3.3243650318766147E-7-7.317954766794939E-6j      nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 7.6E9                                             50                                                nan+nan*1j                                         -3.3584510148558733E-4-6.774718845147182E-4j      nan+nan*1j                                         -nan-nan*1j                                        3.361996350117951E-4+6.851752607870193E-4j        -nan-nan*1j                                        nan+nan*1j                                         -3.5452965858240637E-7-7.703376163164667E-6j      nan+nan*1j
-0.25                                             0                                                 1                                                 0                                                 8.0E9                                             50                                                nan+nan*1j                                         -3.599437982083655E-4-6.962506905801572E-4j       nan+nan*1j                                         -nan-nan*1j                                        3.603193661184268E-4+7.043377543561363E-4j        -nan-nan*1j                                        nan+nan*1j                                         -3.7555597610665614E-7-8.087067690305075E-6j      nan+nan*1j
-0.25                                             0                                                 0                                                 1                                                 4.0E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -2.185680782457705E-9-4.250420308190385E-6j       nan+nan*1j                                         nan+nan*1j                                         -2.1856905454760577E-9-4.250420349493917E-6j      -nan-nan*1j                                        -nan-nan*1j                                        4.3711905618955564E-9+8.500840662414848E-6j
-0.25                                             0                                                 0                                                 1                                                 4.4E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -2.592012015542875E-9-4.675410484764163E-6j       nan+nan*1j                                         nan+nan*1j                                         -2.5920097188200906E-9-4.675410487741191E-6j      -nan-nan*1j                                        -nan-nan*1j                                        5.183855654721132E-9+9.3508209854943E-6j
-0.25                                             0                                                 0                                                 1                                                 4.8E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -3.0321587695892445E-9-5.100392191492487E-6j      nan+nan*1j                                         nan+nan*1j                                         -3.0321644545289046E-9-5.100392205048796E-6j      -nan-nan*1j                                        -nan-nan*1j                                        6.0640653329159525E-9+1.0200784394383374E-5j
-0.25                                             0                                                 0                                                 1                                                 5.2E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -3.5058608791446877E-9-5.525365095248007E-6j      nan+nan*1j                                         nan+nan*1j                                         -3.505872127511794E-9-5.525365133210065E-6j       -nan-nan*1j                                        -nan-nan*1j                                        7.0115138860086675E-9+1.1050730226687502E-5j
-0.25                                             0                                                 0                                                 1                                                 5.6E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -4.0130279158833566E-9-5.9503288952032395E-6j     nan+nan*1j                                         nan+nan*1j                                         -4.013026547485132E-9-5.9503288931644134E-6j      -nan-nan*1j                                        -nan-nan*1j                                        8.02584734716572E-9+1.1900657783349006E-5j
-0.25                                             0                                                 0                                                 1                                                 6.0E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -4.5534078237536465E-9-6.375283157352522E-6j      nan+nan*1j                                         nan+nan*1j                                         -4.5534186315672096E-9-6.375283191904758E-6j      -nan-nan*1j                                        -nan-nan*1j                                        9.106678018639026E-9+1.2750566341154932E-5j
-0.25                                             0                                                 0                                                 1                                                 6.4E9                                             50                                                nan+nan*1j                                         nan+nan*1j                                         -5.126960293183212E-9-6.800227574415188E-6j       nan+nan*1j                                         nan+nan*1j                                         -5.126958803799788E-9-6.800227579360372E-6j       -nan-nan*1j                                        -nan-nan*1j                                        1.0253589982619582E-8+1.3600455158944325E-5j
